Program ID,Facility Name,Town,County,Withdrawal Category,Withdrawal Type,Reporting Year,Average Day Withdrawal (MGD),Maximum Day Withdrawal (MGD),Easting,Northing
WWR0001321,Rolling Hills at Antlers,Amsterdam (T),Montgomery,Recreational - Golf Course,Surface Water,2016,0.04,0.1,559870,4756277
WWR0001322,Rolling Meadows Water Corp (Hurley Water Co),Hurley (T),Ulster,Public Water Supply,Groundwater; Surface Water,2016,0.15,0.17,578586,4641658
WWR0001326,"Rome, City",Annsville (T),Oneida,Public Water Supply,Surface Water,2016,9.2,15.9,462740,4784474
WWR0001328,Roscoe-Rockland Water District,Rockland (T),Sullivan,Public Water Supply,Groundwater,2016,0.17,0.27,507561,4645083
WWR0001330,"Rosendale, Tn",Rosendale (T),Ulster,Public Water Supply,Groundwater; Surface Water,2016,0.12,0.13,576464,4632657
WWR0001332,Rose-North Rose Water District,Rose (T),Wayne,Public Water Supply,Groundwater,2016,0.28,0.6,346131,4783380
WWR0001331,Roseton Generating Station,Newburgh (T),Orange,Power - Fossil Fuel,Surface Water,2016,356.18,704.88,585268,4602472
WWR0001941,Rothland Golf Course,Newstead (T),Erie,Recreational - Golf Course,Surface Water,2016,0.09,0.1,211792,4768122
WWR0001335,"Rotterdam, Tn - Main St",Rotterdam (T),Schenectady,Public Water Supply,Groundwater,2016,0.21,0.38,578419,4746948
WWR0001334,"Rotterdam, Tn - Rice Road",Rotterdam (T),Schenectady,Public Water Supply,Groundwater,2016,4.06,8.92,582758,4741531
WWR0001337,"Rouses Point, Vg",Champlain (T),Clinton,Public Water Supply,Surface Water,2016,0.41,0.69,628949,4983319
WWR0001338,Route 82 Sand & Gravel,Washington (T),Dutchess,Mine Dewatering,Surface Water,2016,0.32,0.4,603958,4629292
WWR0001339,Rovers' Farm Inc,Chazy (T),Clinton,Agricultural,Groundwater,2016,0.07,0.07,624093,4972770
WWR0001340,Rowlands Hollow Water Works,Milton (T),Saratoga,Public Water Supply,Groundwater,2016,0.14,0.36,593342,4768345
WWR0001863,Roxbury Farm,Kinderhook (T),Columbia,Agricultural,Groundwater; Surface Water,2016,0.07,0.17,607489,4692344
WWR0001341,"Roxbury, Tn",Roxbury (T),Delaware,Public Water Supply,Groundwater,2016,0.18,0.32,535988,4681629
WWR0001870,Royal J Acres,Oswegatchie (T),St. Lawrence,Agricultural,Groundwater,2016,0.06,0.07,463445,4943038
WWR0001342,Royal Mountain Ski Area,Caroga (T),Fulton,Recreational - Snow Making,Surface Water,2016,1,1.7,540358,4769991
WWR0001268,"R&R Farms / Dykeman & Sons, Inc",Glen (T),Montgomery,Agricultural,Groundwater; Surface Water,2016,0.04,0.05,552261,4751003
WWR0001344,"Rushville, Vg",Gorham (T),Ontario,Public Water Supply,Surface Water,2016,0.12,0.25,317847,4736579
WWR0001347,Sacandaga Park Water District,Northampton (T),Fulton,Public Water Supply,Groundwater,2016,0.03,0.08,567439,4785725
WWR0001348,"Sackets Harbor, Vg",Hounsfield (T),Jefferson,Public Water Supply,Surface Water,2016,0.32,0.57,410281,4866548
WWR0001470,Saint Andrew's Golf Club,Greenburgh (T),Westchester,Recreational - Golf Course,Groundwater; Surface Water,2016,0.09,0.33,596983,4538771
WWR0001350,"Saint Johnsville, Vg",Oppenheim (T),Fulton,Public Water Supply,Groundwater; Surface Water,2016,0.27,0.32,526321,4760835
WWR0001351,"Salamanca, City",Salamanca (C),Cattaraugus,Public Water Supply,Groundwater,2016,1.85,2.03,193677,4673929
WWR0001352,Salem Golf Club,North Salem (T),Westchester,Recreational - Golf Course,Surface Water,2016,0.03,0.12,619132,4578770
WWR0001353,"Salem, Vg",Salem (T),Washington,Public Water Supply,Groundwater,2016,0.05,0.2,635921,4781283
WWR0001354,Salmon Creek Country Club,Ogden (T),Monroe,Recreational - Golf Course,Surface Water,2016,0.59,1.1,267924,4787162
WWR0001357,Samascott Orchards,Kinderhook (T),Columbia,Agricultural,Groundwater; Surface Water,2016,0.13,0.8,606651,4694847
WWR0001360,Sandy Creek & Lacona Joint Water Works,Sandy Creek (T),Oswego,Public Water Supply,Groundwater,2016,0.13,0.16,412863,4832958
WWR0001856,Saranac Inn Golf and Country Club,Santa Clara (T),Franklin,Recreational - Golf Course,Surface Water,2016,0.26,1.3,554262,4910578
WWR0001361,"Saranac Lake, Vg",North Elba (T),Essex,Public Water Supply,Groundwater; Surface Water,2016,0.71,1.81,569219,4908324
WWR0001362,Saratoga County Water Authority,Halfmoon (T),Saratoga,Public Water Supply,Surface Water,2016,5.46,8.97,604581,4790586
WWR0001363,Saratoga Glen Hollow Water Supply,Stillwater (T),Saratoga,Public Water Supply,Groundwater,2016,0.09,0.26,602611,4759399
WWR0001364,Saratoga Golf and Polo Club,Saratoga Springs (C),Saratoga,Recreational - Golf Course,Surface Water,2016,0.04,0.14,597638,4771024
WWR0001365,Saratoga National Golf Club,Saratoga Springs (C),Saratoga,Recreational - Golf Course,Surface Water,2016,0.09,0.45,602281,4768161
WWR0001366,"Saratoga Sod Farm, Inc.",Stillwater (T),Saratoga,Agricultural,Surface Water,2016,0.73,5.87,612222,4759500
WWR0001790,Saratoga Spa Golf Course,Saratoga Springs (T),Saratoga,Recreational - Golf Course,Surface Water,2016,0.23,0.6,598007,4767513
WWR0001367,"Saratoga Springs, City",Saratoga Springs (C),Saratoga,Public Water Supply,Groundwater; Surface Water,2016,4.3,7.49,598980,4770790
WWR0001368,"Saratoga Water Services, Inc",Malta (T),Saratoga,Public Water Supply,Groundwater,2016,0.51,1.18,598739,4757469
WWR0001370,"Saugerties, Vg",Saugerties (T),Ulster,Public Water Supply,Surface Water,2016,0.81,1.48,586630,4659025
WWR0001371,Saunders - Bainbridge,Bainbridge (T),Chenango,Industrial,Groundwater,2016,0,0.14,463939,4683226
WWR0001372,Saunders - Cortland Ready Mix,Cortland (C),Cortland,Industrial,Groundwater,2016,0,0.22,404151,4718320
WWR0001380,Saunders - Greene Ready Mix,Greene (T),Chenango,Industrial,Groundwater,2016,0,0.22,442005,4689474
WWR0001373,Saunders - Ithaca Concrete,Dryden (T),Tompkins,Industrial,Groundwater,2016,0,0.14,384470,4703424
WWR0001381,Saunderskill Farm,Rochester (T),Ulster,Agricultural,Surface Water,2016,1,1,565542,4626228
WWR0001374,Saunders - Lisle Aggregate Plant,Lisle (T),Broome,Industrial,Groundwater,2016,0,0,417829,4689470
WWR0001375,Saunders - Marcellus Plant,Marcellus (T),Onondaga,Industrial,Groundwater,2016,1.83,2.18,389131,4762898
WWR0001376,Saunders - Nedrow Plant,Onondaga (T),Onondaga,Industrial,Groundwater,2016,0.01,0.14,405777,4759621
WWR0001379,Saunders - Norwich,Norwich (T),Chenango,Industrial,Groundwater,2016,0,0.11,455721,4703508
WWR0001377,Saunders - South Onondaga,Onondaga (T),Onondaga,Industrial,Groundwater,2016,0.12,0.43,400606,4754453
WWR0001378,Saunders - Whitney Point,Triangle (T),Broome,Industrial,Groundwater,2016,0,0,421476,4686361
WWR0001382,Sauquoit Water District,Paris (T),Oneida,Public Water Supply,Groundwater,2016,0.21,,478924,4759407
WWR0001383,Savannah Water District #1,Savannah (T),Wayne,Public Water Supply,Groundwater,2016,0.05,0.09,356709,4769765
WWR0001384,"Savona, Vg",Bath (T),Steuben,Public Water Supply,Groundwater,2016,0.03,0.22,317192,4683998
WWR0001385,Scarsdale Golf Club,Greenburgh (T),Westchester,Recreational - Golf Course,Surface Water,2016,0.11,0.6,600983,4540795
WWR0001386,"Schaghticoke, Vg",Schaghticoke (T),Rensselaer,Public Water Supply,Groundwater,2016,0.07,0.13,615358,4750305
WWR0001387,"Schenectady, City",Rotterdam (T),Schenectady,Public Water Supply,Groundwater,2016,13.8,23.5,582927,4741160
WWR0001391,Schodack Water District #1,Schodack (T),Rensselaer,Public Water Supply,Groundwater,2016,0.03,0.11,608040,4713385
WWR0001390,Schodack Water District #9,Schodack (T),Rensselaer,Public Water Supply,Groundwater,2016,0.12,0.28,608045,4713390
WWR0001394,Schoharie Valley Farms,Schoharie (T),Schoharie,Agricultural,Surface Water,2016,0.04,0.22,557522,4726039
WWR0001395,"Schoharie, Vg",Schoharie (T),Schoharie,Public Water Supply,Surface Water,2016,0.12,0.25,558130,4725166
WWR0001396,Schroon Lake Water District,Schroon (T),Essex,Public Water Supply,Groundwater,2016,0.26,,599699,4854511
WWR0001398,Schuyler Meadows Club,Colonie (T),Albany,Recreational - Golf Course,Surface Water,2016,0.11,1.73,602878,4730646
WWR0001400,"Schuylerville, Vg",Saratoga (T),Saratoga,Public Water Supply,Groundwater,2016,0.25,0.59,615282,4773361
WWR0001401,Schweitzer-Mauduit International Inc.,Ancram (T),Columbia,Industrial,Groundwater; Surface Water,2016,0.35,0.62,612933,4656186
WWR0001402,Scio Water Dept,Amity (T),Allegany,Public Water Supply,Groundwater; Surface Water,2016,0.06,0.08,253974,4673106
WWR0001403,"Scotia, Vg",Glenville (T),Schenectady,Public Water Supply,Groundwater,2016,1.1,1.52,583356,4744432
WWR0001404,Scott Water District #1,Scott (T),Cortland,Public Water Supply,Groundwater,2016,0.01,0.03,398652,4728983
WWR0001869,Sedgewood Club,Kent (T),Putnam,Recreational - Golf Course,Surface Water,2016,0.01,0.08,604515,4588575
WWR0001408,Seneca Falls Country Club,Seneca Falls (T),Seneca,Recreational - Golf Course,Surface Water,2016,0.11,0.17,356885,4750215
WWR0001409,"Seneca Falls, Vg",Fayette (T),Seneca,Public Water Supply,Surface Water,2016,1,1.6,357617,4745426
WWR0001410,Seneca Foods Corp,Leicester (T),Livingston,Industrial,Surface Water,2016,0.67,1.56,264092,4736445
WWR0000432,Shadow Lake Golf Course,Penfield (T),Monroe,Recreational - Golf Course,Surface Water,2016,0.07,0.22,299104,4780367
WWR0001416,Shaker Ridge Country Club,Colonie (T),Albany,Recreational - Golf Course,Surface Water,2016,0.06,0.14,596207,4733570
WWR0000610,"Sharon Springs, Vg",Sharon (T),Schoharie,Public Water Supply,Groundwater; Surface Water,2016,0.12,0.22,530677,4737183
WWR0001417,Shaul Farms,Fulton (T),Schoharie,Agricultural,Surface Water,2016,0.12,0.72,549340,4712114
WWR0001419,Shawangunk Bulk Spring Water,Shawangunk (T),Ulster,Bottled/Bulk Water,Surface Water,2016,0.01,,556396,4611356
WWR0001418,"Shawangunk, Tn (Wallkill Water District)",Shawangunk (T),Ulster,Public Water Supply,Groundwater,2016,0.1,0.28,568221,4606229
WWR0001420,Sheland Farms,Ellisburg (T),Jefferson,Agricultural,Groundwater; Surface Water,2016,0.03,0.05,409040,4849937
WWR0001422,Shelridge Country Club,Ridgeway (T),Orleans,Recreational - Golf Course,Surface Water,2016,0.11,0.55,222825,4790977
WWR0001423,Shenendehowa Central School District,Clifton Park (T),Saratoga,Institutional,Groundwater,2016,0.01,0.01,597336,4746592
WWR0001424,"Sherburne, Vg",Sherburne (T),Chenango,Public Water Supply,Groundwater,2016,0.24,0.48,459005,4725231
WWR0001425,Shore Colony Water District,Queensbury (T),Warren,Public Water Supply,Surface Water,2016,0,0.01,608880,4813350
WWR0001426,Shorewood Country Club,Dunkirk (T),Chautauqua,Recreational - Golf Course,Surface Water,2016,0.08,0.32,139627,4710737
WWR0001427,Shuback Farms,Warwick (T),Orange,Agricultural,Groundwater,2016,0.2,,548724,4574003
WWR0001415,SH Water Company (Sackett Lake Estates),Thompson (T),Sullivan,Public Water Supply,Groundwater,2016,0,0.02,520846,4608194
WWR0001429,Sidney Water Supply,Sidney (T),Delaware,Public Water Supply,Groundwater,2016,0.6,1.08,467578,4684367
WWR0001428,SI Group,Rotterdam (T),Schenectady,Industrial,Groundwater,2016,0.68,1.26,579721,4745787
WWR0001430,Silver Bay Association,Hague (T),Warren,Institutional,Surface Water,2016,0.02,0.04,620389,4839181
WWR0001431,Silver Lake Country Club,Castile (T),Wyoming,Recreational - Golf Course,Surface Water,2016,0.11,0.58,251617,4732125
WWR0001864,Silver Lake Golf Course,Richmond (T),Richmond,Recreational - Golf Course,Surface Water,2016,0.03,0.22,576306,4497231
WWR0001432,"Silver Springs, Vg",Gainesville (T),Wyoming,Public Water Supply,Groundwater; Surface Water,2016,0.06,0.23,247277,4727711
WWR0001922,"Sinclairville, Vg",Gerry (T),Chautauqua,Public Water Supply,Groundwater,2016,0.11,,148738,4687799
WWR0001433,Siwanoy Country Club,Eastchester (T),Westchester,Recreational - Golf Course,Groundwater; Surface Water; Purchase,2016,0.08,0.37,599957,4532882
WWR0001434,Skaneateles Country Club,Skaneateles (T),Onondaga,Recreational - Golf Course,Surface Water,2016,0.13,0.29,383564,4754157
WWR0001284,Skenandoa Golf Club,Westmoreland (T),Oneida,Recreational - Golf Course,Groundwater,2016,0.04,0.29,466148,4768761
WWR0001435,"Ski Plattekill, Inc.",Roxbury (T),Delaware,Recreational - Snow Making,Surface Water,2016,2.45,2.45,528548,4682063
WWR0001721,Ski Windham,Windham (T),Greene,Recreational - Snow Making,Surface Water,2016,1.14,5.59,561234,4683206
WWR0001436,Slack Hollow Farm,Argyle (T),Washington,Agricultural,Groundwater; Surface Water,2016,0.03,0.15,629349,4790486
WWR0001437,Sleepy Hollow Country Club,Ossining (T),Westchester,Recreational - Golf Course,Groundwater; Surface Water,2016,0.15,0.49,595699,4553462
WWR0001438,Sleepy Hollow Lake Water Co,Athens (T),Greene,Public Water Supply,Surface Water,2016,0.09,0.23,598785,4681372
WWR0001440,"Smyrna, Vg",Smyrna (T),Chenango,Public Water Supply,Groundwater,2016,0.05,0.06,453280,4726302
WWR0001441,Sodus Bay Heights Golf Club,Sodus (T),Wayne,Recreational - Golf Course,Surface Water,2016,0.09,0.32,338611,4790906
WWR0001442,"Sodus, Vg",Sodus (T),Wayne,Public Water Supply,Groundwater; Surface Water,2016,0.97,1.5,332591,4789022
WWR0000014,Somerset Operating Company,Somerset (T),Niagara,Power - Fossil Fuel,Surface Water,2016,181,274,208055,4806650
WWR0001443,Somers Pointe Country Club - East,Somers (T),Westchester,Recreational - Golf Course,Surface Water,2016,0.07,0.1,609511,4577033
WWR0001445,Sorbello & Sons,Granby (T),Oswego,Agricultural,Surface Water,2016,0,0,385021,4793365
WWR0001447,"South Dayton, Vg",Dayton (T),Cattaraugus,Public Water Supply,Groundwater,2016,0.07,0.11,166539,4697881
WWR0001454,Southern Cayuga Lake Intermunicipal Water Commission,Lansing (T),Tompkins,Public Water Supply,Surface Water,2016,3.03,5.5,375952,4706177
WWR0001896,Southern Dutchess Country Club,Beacon (C),Dutchess,Recreational - Golf Course,Groundwater; Surface Water,2016,0.03,0.04,585379,4596199
WWR0001449,"South Glens Falls, Vg",Moreau (T),Saratoga,Public Water Supply,Groundwater; Surface Water,2016,0.5,1.03,610594,4794585
WWR0001451,South Otselic Hatchery,Otselic (T),Chenango,Other,Groundwater; Surface Water,2016,1.47,2.59,435655,4721612
WWR0001452,South Shore Golf Course,Richmond (T),Richmond,Recreational - Golf Course,Groundwater; Surface Water,2016,0.09,0.21,567309,4489301
WWR0001455,Southview Farm LP,Castile (T),Wyoming,Agricultural,Groundwater; Surface Water,2016,0.12,0.13,252705,4725913
WWR0000474,Spallina  Materials,Cohocton (T),Steuben,Mine Dewatering,Groundwater; Surface Water,2016,0.9,3.01,294082,4707056
WWR0001457,Sparta Farms,Groveland (T),Livingston,Agricultural,Surface Water,2016,0,0,270373,4727280
WWR0001459,"Speculator,Vg",Lake Pleasant (T),Hamilton,Public Water Supply,Groundwater,2016,0.1,0.25,552073,4815951
WWR0001461,Spook Rock Golf Course,Ramapo (T),Rockland,Recreational - Golf Course,Groundwater; Surface Water,2016,0.29,0.58,575726,4553399
WWR0001463,Spring Hope Dairy,Hopewell (T),Ontario,Agricultural,Groundwater,2016,0.24,0.25,324346,4751605
WWR0001464,Springhouse Estates,Southeast (T),Putnam,Public Water Supply,Groundwater,2016,0.02,0.02,617841,4588447
WWR0001465,Springville Country Club,Concord (T),Erie,Recreational - Golf Course,Groundwater; Surface Water,2016,0.02,0.14,196534,4710266
WWR0001466,"Springville, Vg",Concord (T),Erie,Public Water Supply,Groundwater,2016,0.53,0.82,198677,4712800
WWR0001467,"Springwater, Tn",Springwater (T),Livingston,Public Water Supply,Groundwater,2016,0.04,0.1,287036,4723561
WWR0001468,Spruce Haven Farms,Fleming (T),Cayuga,Agricultural,Groundwater,2016,0,0,368622,4746520
WWR0001469,Squire Green Water Corporation,Pawling (T),Dutchess,Public Water Supply,Groundwater,2016,0.04,0.09,615757,4604790
WWR0001476,Stafford Country Club,Stafford (T),Genesee,Recreational - Golf Course,Groundwater; Surface Water,2016,0.08,0.29,249637,4763826
WWR0001910,Stahahe (Palisades Interstate Park Commission),Tuxedo (T),Orange,Public Water Supply,Surface Water,2016,0,0.02,570675,4564938
WWR0001477,"Stamford, Vg",Jefferson (T),Schoharie,Public Water Supply,Groundwater; Surface Water,2016,0.11,0.29,531165,4696926
WWR0001478,Star Growers Farm LLC,Elba (T),Genesee,Agricultural,Groundwater; Surface Water,2016,0,0.01,246189,4770943
WWR0001479,Star Lake Water District,Fine (T),St. Lawrence,Public Water Supply,Surface Water,2016,0.05,0.14,497148,4889586
WWR0001471,"St. Armand, Tn (Bloomingdale Water District)",St Armand (T),Essex,Public Water Supply,Groundwater,2016,0.05,0.06,572719,4917572
WWR0001480,Starr Ridge Manor Water District,Southeast (T),Putnam,Public Water Supply,Groundwater,2016,0.01,0.04,617897,4580733
WWR0000347,State Farm,Collins (T),Erie,Agricultural,Groundwater,2016,0,0,177345,4710940
WWR0001481,Stauffer Farms LLC,Lawrence (T),St. Lawrence,Agricultural,Groundwater,2016,0.06,0.08,526434,4957479
WWR0001882,St. Bonaventure University,Allegany (T),Cattaraugus,Institutional,Groundwater,2016,0.72,1.44,212005,4664660
WWR0001482,Stevensville Water District,Liberty (T),Sullivan,Public Water Supply,Groundwater,2016,0.28,0.86,516150,4623180
WWR0001474,St. Lawrence/FDR Power Project,Massena (T),St. Lawrence,Power - Other,Surface Water,2016,84083,98204,515432,4983327
WWR0001473,St. Lawrence University,Canton (T),St. Lawrence,Recreational - Other,Surface Water,2016,0.04,0.44,487285,4937722
WWR0001346,St. Lawrence University Golf Course,Canton (T),St. Lawrence,Recreational - Golf Course,Surface Water,2016,0.08,0.18,488136,4938105
WWR0000092,St. Lawrence Zinc - Balmat Mines,Fowler (T),St. Lawrence,Mine Dewatering,Groundwater; Surface Water,2016,0.6,1.04,467367,4901359
WWR0001895,Stocking Hill Farms,York (T),Livingston,Agricultural,Surface Water,2016,0,,267550,4750695
WWR0001485,"Stockport, Tn",Stockport (T),Columbia,Public Water Supply,Groundwater,2016,0.24,0.47,603270,4682398
WWR0001486,Stone Dock Golf Course,Marbletown (T),Ulster,Recreational - Golf Course,Surface Water,2016,0.06,0.12,570419,4629753
WWR0000651,Stonehedges Golf Course,Groton (T),Tompkins,Recreational - Golf Course,Groundwater; Surface Water,2016,0,0.05,390333,4713115
WWR0001488,Story Farms,Catskill (T),Greene,Agricultural,Surface Water,2016,0.02,0.04,583703,4671510
WWR0001475,St. Regis Falls Water District,Waverly (T),Franklin,Public Water Supply,Groundwater,2016,0.07,,536102,4946869
WWR0001489,"Suffern, Vg",Ramapo (T),Rockland,Public Water Supply,Groundwater; Purchase,2016,1.52,2.24,571397,4551768
WWR0001490,Sugar Hill Golf Course,Portland (T),Chautauqua,Recreational - Golf Course,Surface Water,2016,0.02,0.03,127920,4701209
WWR0001491,Sugar Loaf Hills,Chester (T),Orange,Public Water Supply,Groundwater,2016,0.05,0.08,559346,4574853
WWR0001492,Suit-Kote Terminal,Cortlandville (T),Cortland,Industrial,Groundwater,2016,0.02,0.04,405691,4716209
WWR0001495,Sunningdale Country Club,Greenburgh (T),Westchester,Recreational - Golf Course,Groundwater; Surface Water; Purchase,2016,0.1,0.48,599054,4540547
WWR0001496,Sunny Hill Resort & Golf,Greenville (T),Greene,Recreational - Golf Course,Surface Water,2016,0.01,,581766,4691212
WWR0001497,Sunnyside Farms Inc,Venice (T),Cayuga,Agricultural,Groundwater; Surface Water,2016,0.13,0.2,371339,4731783
WWR0001494,Sun Rich Farms,Barre (T),Orleans,Agricultural,Groundwater,2016,0,,236935,4781626
WWR0001498,Sunrise Farms,Catskill (T),Greene,Agricultural,Surface Water,2016,0,0,585284,4675179
WWR0001902,Sunshine Orchard,Marlborough (T),Ulster,Agricultural,Surface Water,2016,0.08,0.25,585244,4612080
WWR0001499,SUNY Delhi Golf Course,Delhi (T),Delaware,Recreational - Golf Course,Groundwater,2016,0.01,0.16,505389,4677860
WWR0001500,Surrey Meadows Water District,Chester (T),Orange,Public Water Supply,Groundwater,2016,0.04,0.09,561255,4580339
WWR0001501,Swain Resort,Grove (T),Allegany,Recreational - Snow Making,Surface Water,2016,1.32,1.99,265389,4706805
WWR0001502,Swartz Dairy and Produce LLC,Schodack (T),Rensselaer,Agricultural,Surface Water,2016,0.01,0.72,607511,4706469
WWR0001504,"Synergy, LLC",Covington (T),Wyoming,Agricultural,Groundwater; Surface Water,2016,0.11,0.13,250514,4746197
WWR0001515,"Syracuse, City",Skaneateles (T),Onondaga,Public Water Supply,Surface Water,2016,39.16,43.94,406414,4767009
WWR0001505,Syracuse Sand & Gravel - Apulia,Fabius (T),Onondaga,Industrial,Surface Water,2016,0,0,412223,4741436
WWR0001506,Syracuse Sand & Gravel - Black Creek Road,Clay (T),Onondaga,Industrial,Surface Water,2016,0,0,402636,4790206
WWR0001507,Syracuse Sand & Gravel - Brickyard Pit,Van Buren (T),Onondaga,Industrial,Surface Water,2016,0,0,392530,4772322
WWR0001763,Syracuse Sand & Gravel - Constantia,Constantia (T),Oswego,Industrial,Surface Water,2016,0.6,0.72,425910,4793158
WWR0001773,Syracuse Sand & Gravel - Fulton,Volney (T),Oswego,Industrial,Groundwater; Surface Water,2016,1.73,1.73,388109,4799616
WWR0001509,Syracuse Sand & Gravel - Gang Mills,Erwin (T),Steuben,Industrial,Surface Water,2016,0,0,323505,4666357
WWR0001510,Syracuse Sand & Gravel - Granby Pit,Granby (T),Oswego,Industrial,Surface Water,2016,0,0,379306,4801956
WWR0001511,Syracuse Sand & Gravel  - Hastings Main,Hastings (T),Oswego,Industrial,Surface Water,2016,0,0,405847,4799522
WWR0001512,Syracuse Sand & Gravel - Lake Road Pit,Phelps (T),Ontario,Industrial,Surface Water,2016,1.83,3.99,334356,4762344
WWR0001514,Syracuse Sand & Gravel - Norwich Pit,Norwich (T),Chenango,Industrial,Surface Water,2016,0,0,455454,4702115
WWR0001513,Syracuse Sand & Gravel - Sennett Pit,Sennett (T),Cayuga,Industrial,Surface Water,2016,0,0,377433,4755295
WWR0001516,Table Rock Farm,Castile (T),Wyoming,Agricultural,Groundwater,2016,0.08,0.11,252971,4723747
WWR0001518,Taconic Biosciences,Germantown (T),Columbia,Industrial,Groundwater,2016,0.02,0.05,593392,4666470
WWR0001517,Taconic Estates,East Fishkill (T),Dutchess,Public Water Supply,Groundwater,2016,0.01,0.02,602617,4604234
WWR0001523,"Tannersville, Vg",Hunter (T),Greene,Public Water Supply,Groundwater; Surface Water,2016,0.26,0.44,571702,4671898
WWR0001522,Tan Tara Golf Club,Pendleton (T),Niagara,Recreational - Golf Course,Surface Water,2016,0.08,0.1,190080,4775071
WWR0001524,Tarry Brae Golf Course (South Fallsburgh),Fallsburg (T),Sullivan,Recreational - Golf Course,Surface Water,2016,0.04,0.32,529817,4620042
WWR0000067,Tecumseh Redevelopment (ArcelorMittal Lackawanna),Hamburg (T),Erie,Industrial,Surface Water,2016,25,25,185369,4748168
WWR0001528,Terry Hills Golf Course,Batavia (T),Genesee,Recreational - Golf Course,Groundwater; Surface Water,2016,0.04,0.22,243922,4765838
WWR0001529,Tetz & Sons - Mongaup,Thompson (T),Sullivan,Mine Dewatering,Groundwater; Surface Water,2016,0.08,0.12,519024,4612408
WWR0001940,Teugega Country Club,Rome (C),Oneida,Recreational - Golf Course,Surface Water,2016,0.2,0.26,464613,4791270
WWR0001531,Texas Brine Co,Middlebury (T),Wyoming,Industrial,Groundwater,2016,0.12,0.26,248091,4744849
WWR0001533,Thendara Golf Course,Webb (T),Herkimer,Recreational - Golf Course,Surface Water,2016,0.11,0.26,500221,4839196
WWR0000605,Thousand Islands Country Club,Alexandria (T),Jefferson,Recreational - Golf Course,Surface Water,2016,0.08,0.21,425162,4910037
WWR0001534,Thunderhart Golf Course,Greenville (T),Greene,Recreational - Golf Course,Groundwater,2016,0,,581873,4689680
WWR0001536,Ticonderoga Golf Corp,Ticonderoga (T),Essex,Recreational - Golf Course,Surface Water,2016,0.03,0.27,623594,4854637
WWR0001538,"Ticonderoga, Tn - Gooseneck Pond",Ticonderoga (T),Essex,Public Water Supply,Surface Water,2016,0.35,0.65,626812,4856229
WWR0001537,"Ticonderoga, Tn - Lake George",Ticonderoga (T),Essex,Public Water Supply,Surface Water,2016,0.48,0.72,626816,4856233
WWR0001539,Tilcon - Cedar Cliff Quarry,Marlborough (T),Ulster,Mine Dewatering,Groundwater,2016,0,0,586522,4605268
WWR0001540,Tilcon - Clinton Point Quarry,Poughkeepsie (T),Dutchess,Mine Dewatering,Surface Water,2016,22.38,38.08,588586,4608807
WWR0000439,Tilcon - Goshen Quarry and Ashalt,Goshen (T),Orange,Mine Dewatering,Groundwater; Surface Water,2016,1.52,2.16,553530,4578954
WWR0001541,Tilcon - Haverstraw Quarry,Clarkstown (T),Rockland,Mine Dewatering,Surface Water,2016,0.47,3.02,587810,4558635
WWR0001542,Tilcon - High Hill Road Pit,Coxsackie (T),Greene,Mine Dewatering,Groundwater,2016,0,0,591660,4688660
WWR0001544,Tilcon - Tomkins Cove Quarry,Stony Point (T),Rockland,Mine Dewatering,Surface Water,2016,0,0,585415,4567292
WWR0001545,Tilcon - West Nyack Quarry,Clarkstown (T),Rockland,Mine Dewatering,Surface Water,2016,0.94,2.9,587483,4551284
WWR0001548,Timber Ridge Golf Club,Clarkson (T),Monroe,Recreational - Golf Course,Surface Water,2016,0.07,1.44,267087,4789519
WWR0001550,Titus Mountain Family Ski Center,Malone (T),Franklin,Recreational - Snow Making,Surface Water,2016,0.96,2.81,560524,4957062
WWR0001551,"Tivoli, Vg",Red Hook (T),Dutchess,Public Water Supply,Groundwater,2016,0.06,0.09,590089,4656066
WWR0001552,Toggenburgh Mountain,Fabius (T),Onondaga,Recreational - Snow Making,Surface Water,2016,0.37,5.44,421539,4741915
WWR0001553,Tonawanda Coke Corp,Tonawanda (T),Erie,Industrial,Surface Water,2016,2.49,3.45,179167,4766187
WWR0000260,Tonawanda Engine Plant,Tonawanda (T),Erie,Industrial,Surface Water,2016,8.69,12.27,181075,4764415
WWR0001554,"Tonawanda, Tn",Tonawanda (T),Erie,Public Water Supply,Surface Water,2016,12.32,16.3,179990,4764325
WWR0001555,Torrey Farms Dairy Inc.,Elba (T),Genesee,Agricultural,Groundwater,2016,0.03,0.04,239915,4772216
WWR0001556,Torrey Farms Inc.,Barre (T),Orleans,Agricultural,Groundwater; Surface Water,2016,0.52,2.46,239289,4774973
WWR0001557,Torrey Farms of Potter Inc.,Potter (T),Yates,Agricultural,Surface Water,2016,0.16,1.15,320789,4729452
WWR0001559,Trainer Farm,Chateaugay (T),Franklin,Agricultural,Groundwater; Purchase,2016,0.03,0.03,575176,4979470
WWR0001857,Transit Valley Country Club,Amherst (T),Erie,Recreational - Golf Course,Groundwater; Surface Water,2016,0.12,0.2,198571,4768840
WWR0001560,"Tre-G Farms, LLC",Pompey (T),Onondaga,Agricultural,Groundwater; Surface Water,2016,0.01,0.01,421138,4752761
WWR0001561,Tri City - Brisben Mine Site,Greene (T),Chenango,Industrial,Surface Water,2016,1.84,2.1,443525,4689392
WWR0001562,Tri City - Broad Street Industrial,Dickinson (T),Broome,Industrial,Surface Water,2016,0,0,426358,4664140
